,name,year,sector,andaman_and_nicobar,andhra_pradesh,_arunachal_pradesh,assam,bihar,chandigarh,chattisgarh,dadra_and_nagar_haveli,daman_and_diu,delhi,goa,gujarat,haryana,_himachal_pradesh,jammu_and_kashmir,jharkhand,karnataka,kerala,lakshadweep,madhya_pradesh,maharashtra,manipur,meghalaya,mizoram,nagaland,orissa,puducherry,punjab,rajasthan,sikkim,tamil_nadu,telangana,tripura,uttarakhand,uttar_pradesh,west_bengal
0,January,2011,Rural,105.0,104.0,NA,104.0,NA,104.0,105.0,104.0,103.0,NA,103.0,104.0,104.0,104,104.0,105.0,104.0,107.0,103.0,104.0,104.0,104.0,104.0,104.0,NA,105.0,106.0,104.0,NA,NA,105.0,NA,105.0,NA,103.0,104.0
1,January,2011,Urban,105.0,103.0,NA,103.0,NA,103.0,104.0,104.0,103.0,NA,103.0,104.0,104.0,103,104.0,104.0,104.0,107.0,102.0,103.0,103.0,104.0,104.0,104.0,NA,105.0,105.0,103.0,NA,NA,104.0,NA,105.0,NA,103.0,104.0
2,January,2011,Rural+Urban,106.0,103.0,NA,104.0,NA,103.0,104.0,104.0,104.0,NA,103.0,104.0,104.0,103,104.0,105.0,104.0,107.0,104.0,104.0,104.0,104.0,104.0,104.0,NA,105.0,104.0,104.0,NA,NA,104.0,NA,105.0,NA,103.0,104.0
3,February,2011,Rural,105.0,107.0,NA,105.0,NA,104.0,107.0,107.0,104.0,NA,105.0,106.0,106.0,105,105.0,107.0,106.0,108.0,104.0,105.0,105.0,103.0,108.0,106.0,NA,108.0,107.0,105.0,NA,NA,107.0,NA,107.0,NA,104.0,107.0
4,February,2011,Urban,104.0,106.0,NA,106.0,NA,103.0,106.0,106.0,104.0,NA,105.0,107.0,107.0,105,105.0,107.0,108.0,109.0,105.0,106.0,107.0,102.0,107.0,109.0,NA,106.0,108.0,105.0,NA,NA,108.0,NA,108.0,NA,105.0,108.0
5,February,2011,Rural+Urban,104.0,105.0,NA,105.0,NA,103.0,105.0,106.0,104.0,NA,104.0,105.0,106.0,104,105.0,106.0,106.0,108.0,103.0,105.0,105.0,103.0,106.0,106.0,NA,106.0,106.0,104.0,NA,NA,106.0,NA,107.0,NA,104.0,107.0
6,March,2011,Rural,106.8,103.1,NA,103.8,NA,103.9,103.9,105.8,104.1,NA,103.9,105.4,105.0,104.3,105.5,104.9,104.8,107.1,108.6,104.1,104.7,103.8,104.8,105.8,NA,105.0,104.7,104.5,NA,NA,103.9,NA,105.0,NA,103.9,104.8
7,March,2011,Urban,107.9,103.6,NA,104.6,NA,104.6,104.3,106.2,105.5,NA,104.3,106.0,105.5,104.8,105.8,105.1,105.4,107.9,110.9,104.8,105.2,104.1,105.6,107.3,NA,105.8,105.2,105.3,NA,NA,104.6,NA,105.3,NA,105.3,105.2
8,March,2011,Rural+Urban,105.0,108.0,NA,105.0,NA,105.0,108.0,108.0,104.0,NA,106.0,108.0,107.0,106,106.0,109.0,108.0,109.0,105.0,106.0,108.0,102.0,109.0,108.0,NA,109.0,110.0,105.0,NA,NA,109.0,NA,108.0,NA,105.0,108.0
9,April,2011,Rural,104.0,105.0,NA,106.0,NA,103.0,105.0,105.0,104.0,NA,104.0,106.0,106.0,104,106.0,106.0,106.0,108.0,104.0,106.0,105.0,103.0,111.0,107.0,NA,106.0,105.0,104.0,NA,NA,105.0,NA,107.0,NA,103.0,107.0
10,January,2011,Urban,105.0,103.0,NA,103.0,NA,103.0,104.0,104.0,103.0,NA,103.0,104.0,104.0,103,104.0,104.0,104.0,107.0,102.0,103.0,103.0,104.0,104.0,104.0,NA,105.0,105.0,103.0,NA,NA,104.0,NA,105.0,NA,103.0,104.0
11,January,2011,Rural+Urban,106.0,103.0,NA,104.0,NA,103.0,104.0,104.0,104.0,NA,103.0,104.0,104.0,103,104.0,105.0,104.0,107.0,104.0,104.0,104.0,104.0,104.0,104.0,NA,105.0,104.0,104.0,NA,NA,104.0,NA,105.0,NA,103.0,104.0
12,February,2011,Rural,105.0,107.0,NA,105.0,NA,104.0,107.0,107.0,104.0,NA,105.0,106.0,106.0,105,105.0,107.0,106.0,108.0,104.0,105.0,105.0,103.0,108.0,106.0,NA,108.0,107.0,105.0,NA,NA,107.0,NA,107.0,NA,104.0,107.0
13,February,2011,Urban,104.0,106.0,NA,106.0,NA,103.0,106.0,106.0,104.0,NA,105.0,107.0,107.0,105,105.0,107.0,108.0,109.0,105.0,106.0,107.0,102.0,107.0,109.0,NA,106.0,108.0,105.0,NA,NA,108.0,NA,108.0,NA,105.0,108.0
14,February,2011,Rural+Urban,104.0,105.0,NA,105.0,NA,103.0,105.0,106.0,104.0,NA,104.0,105.0,106.0,104,105.0,106.0,106.0,108.0,103.0,105.0,105.0,103.0,106.0,106.0,NA,106.0,106.0,104.0,NA,NA,106.0,NA,107.0,NA,104.0,107.0
15,March,2011,Rural,106.8,103.1,NA,103.8,NA,103.9,103.9,105.8,104.1,NA,103.9,105.4,105.0,104.3,105.5,104.9,104.8,107.1,108.6,104.1,104.7,103.8,104.8,105.8,NA,105.0,104.7,104.5,NA,NA,103.9,NA,105.0,NA,103.9,104.8
